,_id,product_name,product_searched,price,offer_details,discount_percent,EMI,rating,comment,customer_name,review_age
0,6047aa4b8304c1a34b594e74,Downshifter 10 (Extra Wide) Running Shoes For Men  (Black),Nike,"₹3,368",[],15% off,NO EMI Plans,5,Very Nice & Comfortable Shoes & It is showing that it is extra wide but it is not too much wide and the shoes are very light weight.,Chirag Gupta,6 days ago
1,6047aa4b8304c1a34b594e76,Downshifter 10 (Extra Wide) Running Shoes For Men  (Black),Nike,"₹3,368",[],15% off,NO EMI Plans,4,Overall look is good.. original product form Flipkart,Pankaj Thakur,8 days ago
2,6047aa4b8304c1a34b594e78,Downshifter 10 (Extra Wide) Running Shoes For Men  (Black),Nike,"₹3,368",[],15% off,NO EMI Plans,5,"Supperb quality,material is soft,comfortable",Sardhara Viral,7 days ago
3,6047aa4c8304c1a34b594e7a,Downshifter 10 (Extra Wide) Running Shoes For Men  (Black),Nike,"₹3,368",[],15% off,NO EMI Plans,5,Super 👍,Narendra Jangid,3 days ago
4,6047aa4c8304c1a34b594e7c,Downshifter 10 (Extra Wide) Running Shoes For Men  (Black),Nike,"₹3,368",[],15% off,NO EMI Plans,5,Comfort and Good,Inno Sutnga,Today
5,6047aa628304c1a34b594e7e,Downshifter 10 (Extra Wide) Running Shoes For Men  (Black),Nike,"₹3,368",[],15% off,NO EMI Plans,5,Very nice product,Anand Ram,Today
6,6047aa678304c1a34b594e80,Downshifter 10 (Extra Wide) Running Shoes For Men  (Black),Nike,"₹3,368",[],15% off,NO EMI Plans,5,Great buy... I loved the packing from Flipkart which made sure that the box will give you a brand new feel. All in all I am super happy.,Ankit Agarwal,1 day ago
7,6047aa678304c1a34b594e82,Downshifter 10 (Extra Wide) Running Shoes For Men  (Black),Nike,"₹3,368",[],15% off,NO EMI Plans,5,Same product are delivered,Mr. naveen,3 days ago
8,6047aa6a8304c1a34b594e84,Downshifter 10 (Extra Wide) Running Shoes For Men  (Black),Nike,"₹3,368",[],15% off,NO EMI Plans,5,Good product the courier was good the delivery boy was good,E.B DARNEI,3 days ago
9,6047aa6a8304c1a34b594e86,Downshifter 10 (Extra Wide) Running Shoes For Men  (Black),Nike,"₹3,368",[],15% off,NO EMI Plans,5,Very nice product I am so very happy,Gaurav Singh,4 days ago
